category,id,label,selector
Person,ba9oiz5zwo594pb,THIZWILONDI REJOYCE MABUDAFHASI,THIZWILONDI REJOYCE MABUDAFHASI
Person,nzc2teuni47mcsw,GORDON MACKAY,GORDON MACKAY
Person,79p1zxlgkfll8g0,CELIWE QHAMKILE MADLOPHA,CELIWE QHAMKILE MADLOPHA
Person,dqn3tb3nnfuto6y,HOPE HELENE MALGAS,HOPE HELENE MALGAS
Person,hxce1oe2o31nm18,EMMANUEL RAMAOTOANA KEBBY MAPHATSOE,EMMANUEL RAMAOTOANA KEBBY MAPHATSOE
Person,jlm394lxg9wgkdz,MOSES SIPHOSEZWE AMOS MASANGO,MOSES SIPHOSEZWE AMOS MASANGO
Person,d6fx0qbh4ya0vqu,MZWANDILE COLLEN MASINA,MZWANDILE COLLEN MASINA
Person,m2msd7s9qhopdxm,ELSABE NATASHA LOUW,ELSABE NATASHA LOUW
Person,nf90n5scpo2tepa,ABINAAR MODIKELA MATLHOKO,ABINAAR MODIKELA MATLHOKO
Person,khq6kriqnyf8xr7,CHOLOANE DAVID MATSEPE,CHOLOANE DAVID MATSEPE
Person,paxk7vlvrugysj5,ASANDA MATSHOBENI,ASANDA MATSHOBENI
Person,o95cx4uxdjcxjh1,COMELY HUMPHREY MAQOCWA MAXEGWANA,COMELY HUMPHREY MAQOCWA MAXEGWANA
Person,k0utw0qfy4sv74t,Moses Sipho Mbatha,Moses Sipho Mbatha
Person,ki7ilndncv2p5at,ALAN ROSS MCLOUGHLIN,ALAN ROSS MCLOUGHLIN
Person,c1e351bvoshgr4m,FIKILE ZACHARIAH MAJOLA,FIKILE ZACHARIAH MAJOLA
Person,ljtwc8t0dro6x2f,THOMAS MAKONDO,THOMAS MAKONDO
Person,ke0xbvdhz2mis27,KGWARIDI BUTI MANAMELA,KGWARIDI BUTI MANAMELA
Person,mfj78fzy3budw86,DUDUZILE PROMISE MANANA,DUDUZILE PROMISE MANANA
Person,d06vkdgr98ae3ow,BUOANG LEMIAS MASHILE,BUOANG LEMIAS MASHILE
Person,h75vfpxtx0h94hx,SAMPSON PHATHAKGE MAKWETLA,SAMPSON PHATHAKGE MAKWETLA
Person,nqhflniebqnw81a,Mmoba Solomon Malatsi,Mmoba Solomon Malatsi
Person,hf8pyxx4ah5arp8,PRISCILLA TOZAMA MANTASHE,PRISCILLA TOZAMA MANTASHE
Person,fmvu25eef7kb0pl,ERIK JOHANNES MARAIS,ERIK JOHANNES MARAIS
Person,h6qx6ex14ggja7v,Cynthia Nocollege Majeke,Cynthia Nocollege Majeke
Person,bde1bojpekq7b8u,THEMBEKILE RICHARD MAJOLA,THEMBEKILE RICHARD MAJOLA
Person,m9lv1la0x7gd6v0,JULIUS SELLO MALEMA,JULIUS SELLO MALEMA
Person,n8azmg4h1l81gjb,MILLICENT NTOMBIZODWA SIBONGILE MANANA,MILLICENT NTOMBIZODWA SIBONGILE MANANA
Person,ll0c254eh6nmud1,NOSIVIWE NOLUTHANDO Mapisa-NQAKULA,NOSIVIWE NOLUTHANDO Mapisa-NQAKULA
Person,hlxw5977mdpzf22,MOHLOPI PHILLEMON MAPULANE,MOHLOPI PHILLEMON MAPULANE
Person,btttj7xyb2370ap,MOTSWALEDI HEZEKIEL MATLALA,MOTSWALEDI HEZEKIEL MATLALA
