alias,source_url,canonical
L D Zulu,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1011,Lindiwe Daphne Zulu
Lennit Max,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/764,Lennit Hendry Max
Mahlakeng Mahlakeng,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1424,Raphael Leroi Mahlakeng
LEROI MAHLAKENG,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1424,Raphael Leroi Mahlakeng
Refiloe Letwaba,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1430,Letwaba Refiloe
L.F. Shabalala,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1898,Lizzie Fikelephi Shabalala
Lindiwe Desiré Mazibuko,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/768,Lindiwe Desire Mazibuko
L.J. de Klerk,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1899,Lourens Johannes De Klerk
L. Johnson,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1895,Lydia Johnson
L.L. Zwane,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1900,Lungelwa Lynette Zwane
L N Mkhize,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/789,Langalakhe Nicholas Mkhize
Louisa Mabe,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1425,LOUISA LORATO MABE
Lourie Bosman,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/566,Lourens Lemmer Bosman
L.P.H.M. Mtshali,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1902,Lionel Percival Hercules Mbeki Mtshali
L.X.H. Hlongwa,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1904,Linda Xolelwa Hlobisile Hlongwa
 Maapi Angelina Molebatsi,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/805,Maapi Angelina Molebatsi
Michael Madlala,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1440,Fanyana Michael Madlala
Madlala Michael,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1440,Fanyana Michael Madlala
Errol Magerman,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1442,Errol Vincent Magerman
Magerman Errol,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1442,Errol Vincent Magerman
Qedani Mahlangu,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1443,Qedani Dorothy Mahlangu
Mahlangu Qedani,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1443,Qedani Dorothy Mahlangu
Lebogang Maile,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1444,Lebogang Isaac Maile
Maile Lebogang,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1444,Lebogang Isaac Maile
Sipho Makama,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1445,Sipho John Makama
Makama Sipho,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1445,Sipho John Makama
Makashule Gana,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/3859,Stanford Makashule Gana
Makhosazana Mdlalose,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1920,Makhosi Mdlalose
Wendy Makhate,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1042,Mamosoeu Wendy Makgate
Manny De Freitas,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/592,Manuel Simão Franca De Freitas
Mark Steele,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1921,Mark Harvey Steele
Mark Wiley,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1447,Mark Geoffry Edington Wiley
Lindiwe Maseko,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1448,Lindiwe Michelle Maseko
Maseko Lindiwe,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1448,Lindiwe Michelle Maseko
Dodo Baloyi,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/549,Masenyani Richard Baloyi
Masenyani Richard Baloyi,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/549,Masenyani Richard Baloyi
Masiza Max Mhlati,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1449,Masiza Maxwell Mhlati
Phaahia,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/889,Mathume Joseph Phaahla
Mathume Joseph Phaahla ,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/889,Mathume Joseph Phaahla
Makhosi Khoza,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1452,Nyameka Nandi Mayathula-Khoza
Nandi Mayathula-Khoza,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1452,Nyameka Nandi Mayathula-Khoza
Mayathula-Khoza Nandi,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1452,Nyameka Nandi Mayathula-Khoza
Mayekiso Moses,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1453,Jongizizwe Moses Mayekiso
Faith Mazibuko,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1454,Nonhlanhla Faith Mazibuko
Mazibuko Faith,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1454,Nonhlanhla Faith Mazibuko
Valentine Mbatha,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1455,Wally Valentine Mbatha
Mbatha Valentine,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1455,Wally Valentine Mbatha
M.B. Ntuli,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1910,Muntukayise Bhekuyise Ntuli
Mbulelo Ntenjwa,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1458,Mbulelo Wiseman Ntenjwa
Mcebisi Jonas,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1459,Mcebisi Hubert Jonas
M.C. Frazer,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1912,Mbalenhle Cleopatra Frazer
M.E. Mthimkhulu,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1915,Mtholephi Emmanuel Mthimkhulu
Meshoe Lefokane,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1462,Lefokane Lydia Meshoe
M E Tshabalala-Msimang,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/980,Mantombazana Edmie Tshabalala-Msimang
